text_a,text_b,intersection,union,jaccard,size_a,size_b
analects,analects,20,20,1.0,20,20
analects,bible,9,31,0.2903225806451613,20,20
analects,bofm,7,33,0.21212121212121213,20,20
analects,dhamma,8,32,0.25,20,20
analects,gita,10,30,0.3333333333333333,20,20
analects,quran,6,34,0.17647058823529413,20,20
analects,tao,13,27,0.48148148148148145,20,20
analects,upanishads,4,36,0.1111111111111111,20,20
bible,analects,9,31,0.2903225806451613,20,20
bible,bible,20,20,1.0,20,20
bible,bofm,7,33,0.21212121212121213,20,20
bible,dhamma,9,31,0.2903225806451613,20,20
bible,gita,10,30,0.3333333333333333,20,20
bible,quran,9,31,0.2903225806451613,20,20
bible,tao,9,31,0.2903225806451613,20,20
bible,upanishads,4,36,0.1111111111111111,20,20
bofm,analects,7,33,0.21212121212121213,20,20
bofm,bible,7,33,0.21212121212121213,20,20
bofm,bofm,20,20,1.0,20,20
bofm,dhamma,4,36,0.1111111111111111,20,20
bofm,gita,5,35,0.14285714285714285,20,20
bofm,quran,6,34,0.17647058823529413,20,20
bofm,tao,3,37,0.08108108108108109,20,20
bofm,upanishads,3,37,0.08108108108108109,20,20
dhamma,analects,8,32,0.25,20,20
dhamma,bible,9,31,0.2903225806451613,20,20
dhamma,bofm,4,36,0.1111111111111111,20,20
dhamma,dhamma,20,20,1.0,20,20
dhamma,gita,11,29,0.3793103448275862,20,20
dhamma,quran,7,33,0.21212121212121213,20,20
dhamma,tao,8,32,0.25,20,20
dhamma,upanishads,8,32,0.25,20,20
gita,analects,10,30,0.3333333333333333,20,20
gita,bible,10,30,0.3333333333333333,20,20
gita,bofm,5,35,0.14285714285714285,20,20
gita,dhamma,11,29,0.3793103448275862,20,20
gita,gita,20,20,1.0,20,20
gita,quran,8,32,0.25,20,20
gita,tao,7,33,0.21212121212121213,20,20
gita,upanishads,9,31,0.2903225806451613,20,20
quran,analects,6,34,0.17647058823529413,20,20
quran,bible,9,31,0.2903225806451613,20,20
quran,bofm,6,34,0.17647058823529413,20,20
quran,dhamma,7,33,0.21212121212121213,20,20
quran,gita,8,32,0.25,20,20
quran,quran,20,20,1.0,20,20
quran,tao,3,37,0.08108108108108109,20,20
quran,upanishads,5,35,0.14285714285714285,20,20
tao,analects,13,27,0.48148148148148145,20,20
tao,bible,9,31,0.2903225806451613,20,20
tao,bofm,3,37,0.08108108108108109,20,20
tao,dhamma,8,32,0.25,20,20
tao,gita,7,33,0.21212121212121213,20,20
tao,quran,3,37,0.08108108108108109,20,20
tao,tao,20,20,1.0,20,20
tao,upanishads,2,38,0.05263157894736842,20,20
upanishads,analects,4,36,0.1111111111111111,20,20
upanishads,bible,4,36,0.1111111111111111,20,20
upanishads,bofm,3,37,0.08108108108108109,20,20
upanishads,dhamma,8,32,0.25,20,20
upanishads,gita,9,31,0.2903225806451613,20,20
upanishads,quran,5,35,0.14285714285714285,20,20
upanishads,tao,2,38,0.05263157894736842,20,20
upanishads,upanishads,20,20,1.0,20,20
