layer,rank,expert,macro_reap,reap_analects,reap_bible,reap_bofm,reap_dhamma,reap_gita,reap_quran,reap_tao,reap_upanishads
0,1,28,3.6477,4.3464,3.4251,3.6852,4.0221,3.043,3.5014,3.7328,3.4258
0,2,4,2.9759,2.3884,3.0369,2.7398,2.4606,4.3927,3.384,2.7566,2.6485
0,3,22,2.6357,2.7528,2.7065,2.8137,2.4192,2.7297,2.8432,2.0299,2.7905
0,4,10,2.5645,2.8055,2.6212,2.9395,1.9786,2.7182,2.3419,2.5874,2.5238
0,5,7,2.3488,2.1035,2.9474,3.1589,1.9617,2.1107,2.8038,1.5055,2.199
0,6,17,2.3359,2.8186,2.0482,2.3011,2.7589,2.4859,2.133,1.6078,2.5337
0,7,1,2.3118,1.9051,2.465,2.656,2.2754,2.5646,2.1627,2.1761,2.2892
0,8,5,2.3064,2.4615,2.3026,2.3641,2.0923,2.7142,2.6038,1.7469,2.1657
0,9,3,2.2281,2.2951,2.1705,2.3315,2.1236,2.3586,2.0528,2.2832,2.2093
0,10,14,2.1836,2.0427,2.7849,2.3621,2.1261,2.146,2.2226,1.6854,2.0986
0,11,31,2.1519,2.1736,2.0845,2.0,2.3844,2.3537,2.0578,1.863,2.2983
0,12,21,2.1263,2.8528,2.1943,2.3678,1.8019,2.293,1.6924,1.9026,1.9061
0,13,27,2.0966,2.0865,2.3793,2.2817,2.0356,1.8607,2.1931,1.9035,2.0326
0,14,24,2.0805,1.9936,2.0493,2.1667,1.9833,1.9152,1.874,2.1497,2.5123
0,15,20,1.9781,6.8569,1.448,1.1971,1.3849,1.595,1.2297,0.9255,1.1879
0,16,8,1.933,1.8831,2.0465,2.0901,2.001,1.9935,2.0016,1.3042,2.1441
0,17,0,1.8692,2.1754,1.8316,1.8709,1.8515,1.5033,1.7267,1.9716,2.0227
0,18,11,1.789,1.9543,1.9341,1.7529,1.7442,1.959,1.8147,1.406,1.7467
0,19,30,1.6222,2.0069,1.4151,1.64,1.6664,1.3577,1.5333,1.6779,1.68
0,20,2,1.5086,1.356,1.5147,1.6785,1.7107,1.5128,1.3208,1.6516,1.324
1,1,19,1.7832,1.7498,2.0253,2.0009,1.8933,1.8051,1.6764,1.6543,1.4603
1,2,8,1.6109,1.6382,1.6401,1.5993,1.5241,1.5567,1.6067,1.6603,1.6618
1,3,2,1.538,1.5462,1.8157,1.8155,1.3026,1.491,1.53,1.3094,1.4934
1,4,5,1.3994,1.4306,1.337,1.4696,1.2652,1.3209,1.3662,1.5554,1.4504
1,5,14,1.3323,1.3303,1.427,1.4604,1.3128,1.3057,1.5562,1.0638,1.2019
1,6,10,1.2971,1.201,1.34,1.536,1.152,1.2953,1.3681,1.1424,1.3421
1,7,29,1.2947,1.2757,1.4924,1.3638,1.3475,1.3502,1.301,1.0146,1.212
1,8,4,1.2923,1.1493,1.5203,1.5062,1.4461,1.1101,1.1578,1.2026,1.2458
1,9,18,1.2503,1.2025,1.2318,1.4267,1.3038,1.2564,1.1966,1.0327,1.3515
1,10,20,1.1888,1.3476,1.3048,1.3437,1.1415,1.263,1.2826,0.6245,1.2025
1,11,23,1.1835,1.1785,1.2366,1.2091,1.2104,1.3073,1.238,0.9026,1.1851
1,12,11,1.1491,1.1086,1.1552,1.0671,1.1528,1.2558,1.13,1.1364,1.1868
1,13,6,1.1134,1.2288,1.1492,1.1336,1.1254,1.1654,1.0458,0.9551,1.1042
1,14,16,1.0912,1.056,1.1488,1.1065,1.1863,1.1339,1.1088,0.8847,1.1043
