text,layer,top10_reap,n_routed
analects,0,20;58;53;56;125;106;188;28;113;131,252246
analects,1,228;86;226;224;58;254;210;111;140;205,252246
analects,2,74;75;176;77;221;160;112;50;71;159,252246
analects,3,73;23;116;234;223;4;184;163;185;61,252246
analects,4,34;158;250;201;106;175;198;248;218;69,252246
analects,5,230;108;35;107;114;179;159;29;180;150,252246
analects,6,56;15;129;62;20;204;226;245;170;144,252246
analects,7,110;229;172;248;226;61;32;81;73;100,252246
analects,8,20;135;202;81;254;103;49;248;172;92,252246
analects,9,72;118;196;99;175;131;128;96;105;154,252246
analects,10,8;246;135;172;215;217;138;252;90;152,252246
analects,11,18;249;228;139;2;154;215;65;199;79,252246
analects,12,80;254;187;19;62;226;203;12;110;116,252246
analects,13,129;193;156;174;91;222;114;19;136;235,252246
analects,14,164;31;42;178;86;208;127;140;138;18,252246
analects,15,190;59;237;105;143;99;166;187;48;138,252246
analects,16,250;204;124;218;189;139;25;66;55;6,252246
analects,17,81;83;76;209;65;247;177;244;249;5,252246
analects,18,83;87;99;129;173;199;16;235;152;25,252246
analects,19,108;224;236;114;231;154;109;228;203;235,252246
analects,20,86;159;24;109;183;116;249;248;177;111,252246
analects,21,127;71;44;180;231;0;129;58;128;107,252246
analects,22,205;76;239;243;212;249;17;159;61;225,252246
analects,23,243;62;164;220;48;18;115;112;178;121,252246
analects,24,114;60;181;51;76;203;246;98;254;201,252246
analects,25,186;90;70;82;113;194;17;60;214;3,252246
analects,26,73;2;78;243;167;228;93;161;254;211,252246
analects,27,233;151;203;213;68;211;35;212;110;112,252246
analects,28,32;45;25;36;233;100;38;105;17;46,252246
analects,29,126;180;193;135;244;8;19;81;6;35,252246
analects,30,121;176;41;134;247;162;159;45;151;34,252246
analects,31,27;177;204;117;143;172;31;13;116;225,252246
analects,32,216;82;163;96;227;23;2;250;24;103,252246
analects,33,171;200;137;209;154;196;40;18;29;188,252246
analects,34,233;207;63;153;133;101;47;156;163;208,252246
analects,35,254;246;81;12;121;209;117;249;160;204,252246
analects,36,104;108;148;250;2;202;139;115;242;126,252246
analects,37,93;40;36;123;234;230;79;134;87;176,252246
analects,38,152;87;207;117;33;224;61;170;98;255,252246
analects,39,64;205;173;114;13;231;82;250;15;109,252246
analects,40,29;193;127;122;91;143;237;212;169;1,252246
analects,41,154;34;84;72;153;37;202;168;51;125,252246
analects,42,26;179;186;178;129;104;212;112;14;244,252246
bible,0,56;106;58;188;40;132;128;102;242;192,6274656
bible,1,228;86;226;127;225;254;210;224;58;74,6274656
bible,2,74;75;176;50;77;203;108;71;112;120,6274656
bible,3,73;234;23;227;116;145;223;4;163;7,6274656
bible,4,205;198;218;249;175;106;34;250;248;37,6274656
bible,5,108;35;230;179;107;114;175;90;29;21,6274656
bible,6,56;15;20;246;62;129;144;171;147;29,6274656
bible,7,229;248;6;196;182;168;226;61;139;240,6274656
bible,8,202;20;103;244;81;99;172;49;34;229,6274656
bible,9,72;196;118;70;57;175;2;128;99;14,6274656
bible,10,8;246;4;132;138;73;215;96;135;142,6274656
bible,11,18;139;165;72;43;60;174;154;2;228,6274656
bible,12,80;102;62;187;61;19;240;171;26;50,6274656
bible,13,129;153;91;19;125;26;235;141;10;213,6274656
bible,14,250;164;178;42;173;189;235;9;138;6,6274656
bible,15,31;237;207;105;59;106;143;225;99;113,6274656
bible,16,204;189;250;124;26;55;165;113;220;218,6274656
bible,17,65;209;81;177;5;76;244;83;17;249,6274656
bible,18,99;83;87;186;180;173;235;77;199;51,6274656
bible,19,108;114;229;154;236;59;228;109;224;180,6274656
bible,20,86;249;159;109;24;183;248;110;228;48,6274656
bible,21,186;177;180;128;127;191;101;129;203;107,6274656
bible,22,205;184;160;25;243;90;42;76;253;17,6274656
bible,23,243;62;227;164;181;50;18;220;31;85,6274656
bible,24,114;60;203;223;205;23;70;121;204;245,6274656
bible,25,186;90;123;70;56;194;133;3;242;163,6274656
bible,26,73;155;0;127;167;2;144;135;21;89,6274656
bible,27,233;78;203;151;212;35;30;13;211;71,6274656
bible,28,32;45;36;202;206;15;105;87;100;52,6274656
bible,29,126;180;193;244;8;19;176;81;69;33,6274656
bible,30,121;176;41;134;231;33;204;250;186;243,6274656
bible,31,20;204;143;117;27;31;177;8;55;172,6274656
bible,32,216;89;82;227;2;250;187;161;206;108,6274656
bible,33,65;200;209;196;105;255;108;29;188;49,6274656
bible,34,233;171;207;177;101;156;114;208;239;128,6274656
bible,35,254;246;12;81;216;117;25;214;101;139,6274656
bible,36,104;148;2;50;250;94;133;123;115;168,6274656
bible,37,93;40;123;134;79;230;171;185;87;102,6274656
bible,38,152;87;99;224;33;8;228;117;61;95,6274656
bible,39,64;132;205;7;203;13;231;109;75;242,6274656
bible,40,29;122;91;107;87;169;212;41;127;23,6274656
bible,41,154;168;59;140;206;89;125;56;22;108,6274656
bible,42,26;238;112;179;131;129;186;73;101;202,6274656
bofm,0,56;58;106;128;102;40;69;6;125;131,2055684
bofm,1,226;225;74;127;224;254;58;160;19;123,2055684
bofm,2,50;71;203;68;97;158;112;55;120;12,2055684
bofm,3,73;234;23;7;116;223;227;145;163;245,2055684
bofm,4,158;218;249;175;106;37;34;62;250;201,2055684
bofm,5,230;108;179;107;114;29;46;159;254;130,2055684
bofm,6,15;129;62;246;20;56;144;207;196;147,2055684
bofm,7,248;6;226;168;182;229;240;185;61;32,2055684
bofm,8,43;49;167;103;254;81;202;248;67;195,2055684
bofm,9,118;196;72;70;128;175;99;251;14;58,2055684
bofm,10,246;138;135;132;122;217;142;68;215;147,2055684
bofm,11,165;228;60;43;72;154;174;25;199;243,2055684
bofm,12,102;62;187;194;171;101;240;203;150;191,2055684
bofm,13,129;153;213;27;33;10;222;45;91;184,2055684
bofm,14,250;9;18;178;138;42;85;173;141;6,2055684
bofm,15,237;105;187;138;34;47;59;166;142;241,2055684
bofm,16,124;218;204;139;125;189;62;145;55;174,2055684
bofm,17,65;83;209;170;249;76;17;48;151;21,2055684
bofm,18,99;161;199;129;173;87;51;83;252;180,2055684
bofm,19,108;109;228;154;203;236;114;229;224;34,2055684
bofm,20,159;24;109;249;248;116;69;86;220;218,2055684
bofm,21,238;73;180;58;22;107;186;231;245;203,2055684
bofm,22,184;160;243;76;42;25;90;212;12;61,2055684
bofm,23,243;62;164;85;220;18;181;50;31;178,2055684
bofm,24,60;114;250;131;203;211;185;246;202;205,2055684
bofm,25,90;186;70;235;106;194;245;222;28;166,2055684
bofm,26,73;155;167;211;21;93;240;82;157;89,2055684
bofm,27,233;151;203;30;78;211;13;212;35;112,2055684
bofm,28,45;32;36;56;43;110;15;105;52;153,2055684
bofm,29,126;193;180;244;35;54;33;255;94;72,2055684
bofm,30,121;134;155;176;87;231;201;198;41;151,2055684
bofm,31,143;20;204;138;117;31;177;94;116;55,2055684
bofm,32,216;82;89;227;254;206;108;250;95;161,2055684
bofm,33,65;228;200;105;40;66;41;196;137;108,2055684
bofm,34,33;126;47;233;207;171;208;101;225;114,2055684
bofm,35,246;12;203;16;81;117;216;249;101;113,2055684
bofm,36,104;168;148;123;50;115;250;236;132;172,2055684
bofm,37,93;124;160;40;123;134;168;176;125;87,2055684
bofm,38,152;87;99;117;181;8;33;228;61;218,2055684
bofm,39,108;13;205;132;109;237;64;115;7;203,2055684
bofm,40,29;169;6;122;91;60;41;212;107;127,2055684
bofm,41,154;78;168;76;205;56;84;89;22;206,2055684
bofm,42,26;164;145;104;129;131;14;112;240;52,2055684
dhamma,0,241;58;56;106;132;28;55;99;178;102,97218
dhamma,1,228;86;32;58;226;117;82;254;127;160,97218
dhamma,2,75;74;176;195;77;112;71;203;254;50,97218
dhamma,3,73;4;23;116;234;7;185;223;145;15,97218
dhamma,4,205;34;250;234;218;198;175;106;248;158,97218
dhamma,5,35;108;230;107;114;179;40;246;242;155,97218
dhamma,6,56;132;62;129;20;194;226;15;246;3,97218
dhamma,7,130;226;182;61;248;32;122;168;6;73,97218
dhamma,8,20;202;248;103;180;34;237;81;157;49,97218
dhamma,9,72;118;196;46;175;128;99;251;14;58,97218
dhamma,10,8;32;165;215;150;135;246;217;138;74,97218
dhamma,11,18;86;161;110;2;43;165;153;79;228,97218
dhamma,12,80;19;62;54;192;187;26;252;194;209,97218
dhamma,13,129;141;157;27;16;176;83;156;114;204,97218
dhamma,14,161;164;235;42;9;33;178;47;208;18,97218
dhamma,15,56;207;99;48;59;138;105;130;237;190,97218
dhamma,16,165;250;6;191;218;26;124;151;189;255,97218
dhamma,17,5;65;232;165;209;103;243;83;172;249,97218
dhamma,18,83;152;186;173;99;15;129;199;235;210,97218
dhamma,19,108;231;224;203;236;175;114;154;23;58,97218
dhamma,20,86;159;109;249;24;177;48;183;116;236,97218
dhamma,21,177;58;73;238;231;82;203;127;245;180,97218
dhamma,22,205;160;76;25;243;42;159;201;212;94,97218
dhamma,23,243;51;18;62;164;50;220;60;254;19,97218
dhamma,24,114;172;60;203;74;80;51;102;78;201,97218
dhamma,25,60;186;90;245;70;194;113;167;166;119,97218
dhamma,26,73;243;52;2;241;93;228;18;254;82,97218
dhamma,27,233;151;203;1;231;30;52;138;211;24,97218
dhamma,28,32;45;250;52;122;36;153;43;100;168,97218
dhamma,29,180;7;35;33;92;19;81;126;193;244,97218
dhamma,30,121;176;182;22;134;41;33;112;151;250,97218
dhamma,31,182;27;177;204;113;143;70;117;191;172,97218
dhamma,32,216;82;24;227;2;250;23;91;108;197,97218
dhamma,33,65;200;137;196;209;40;154;29;103;18,97218
dhamma,34,33;233;207;251;114;4;39;101;208;210,97218
dhamma,35,254;81;12;246;117;121;249;216;204;139,97218
dhamma,36,104;148;126;168;250;115;255;113;154;172,97218
dhamma,37,93;124;234;123;134;87;230;176;79;40,97218
dhamma,38,152;87;224;61;211;255;33;117;174;188,97218
dhamma,39,64;215;231;13;15;173;7;203;202;75,97218
dhamma,40,29;169;16;91;75;122;6;60;196;143,97218
dhamma,41,154;76;34;169;153;168;84;206;138;51,97218
dhamma,42,26;164;111;179;27;52;129;131;14;147,97218
gita,0,58;106;56;188;4;132;99;128;80;40,178140
gita,1,228;226;86;208;224;58;210;160;254;144,178140
gita,2,75;74;77;50;203;216;195;112;1;120,178140
gita,3,116;234;23;4;163;145;223;54;61;184,178140
gita,4,158;205;175;250;80;106;248;198;69;53,178140
gita,5,90;35;107;133;29;175;210;216;150;246,178140
gita,6,56;62;20;181;15;74;246;129;0;226,178140
gita,7,248;168;32;115;61;182;6;43;139;73,178140
gita,8,20;202;248;99;103;157;81;229;195;67,178140
gita,9,72;118;29;175;58;196;128;2;99;140,178140
gita,10,8;237;246;14;135;215;138;217;32;142,178140
gita,11,18;86;43;139;2;165;25;199;228;79,178140
gita,12,80;54;228;19;253;62;194;187;171;192,178140
gita,13,129;112;136;126;141;222;91;213;149;33,178140
gita,14,9;164;42;43;18;197;173;243;194;67,178140
gita,15,56;237;201;48;105;187;173;2;207;124,178140
gita,16,199;8;52;204;62;14;220;124;189;145,178140
gita,17,5;65;81;17;83;115;77;249;103;209,178140
gita,18,152;186;83;99;173;90;96;202;199;129,178140
gita,19,231;236;203;114;154;34;142;208;109;229,178140
gita,20,159;15;109;177;154;24;86;248;249;48,178140
gita,21,207;238;177;107;58;180;231;245;30;135,178140
gita,22,205;160;159;76;111;243;17;206;61;240,178140
gita,23,243;51;164;62;181;220;18;50;173;178,178140
gita,24,114;60;103;203;122;51;172;204;97;246,178140
gita,25,186;90;163;62;113;25;194;238;235;60,178140
gita,26,73;83;228;243;2;173;137;89;211;82,178140
gita,27,233;151;203;30;237;211;193;90;35;138,178140
gita,28,32;45;250;233;69;36;43;153;172;105,178140
gita,29,180;126;193;35;7;244;251;19;4;14,178140
gita,30,176;182;50;66;121;198;134;41;167;114,178140
gita,31,27;203;204;222;143;189;31;13;117;177,178140
gita,32,216;82;180;96;143;24;2;57;108;23,178140
gita,33,65;200;154;137;209;196;40;18;102;177,178140
gita,34,33;233;207;108;54;153;185;171;26;208,178140
gita,35,254;81;12;246;117;204;71;41;160;121,178140
gita,36,104;225;228;53;148;242;111;172;250;50,178140
gita,37,93;237;87;123;134;230;79;40;186;67,178140
gita,38,152;87;117;170;33;211;160;61;218;111,178140
gita,39,64;205;15;210;132;13;173;177;231;233,178140
gita,40,29;169;60;10;6;212;237;195;165;16,178140
gita,41,143;154;76;84;34;61;99;80;37;93,178140
gita,42,164;26;104;179;52;27;186;28;217;212,178140
quran,0,56;58;241;99;132;104;131;40;128;125,1548732
quran,1,228;226;127;224;58;254;117;225;160;151,1548732
quran,2,176;75;50;203;108;216;120;158;71;195,1548732
quran,3,73;234;23;116;184;223;145;227;7;163,1548732
quran,4,198;175;250;218;248;106;34;158;205;201,1548732
quran,5,166;230;108;107;179;175;35;29;114;150,1548732
quran,6,15;56;129;62;20;74;11;144;246;226,1548732
quran,7,248;6;110;61;168;226;182;32;103;245,1548732
quran,8,20;178;49;202;103;81;248;172;42;254,1548732
quran,9,72;196;118;175;99;29;148;14;57;58,1548732
quran,10,246;215;135;106;138;8;96;217;42;255,1548732
quran,11,18;137;139;110;43;165;72;154;199;25,1548732
quran,12,80;216;19;62;187;182;180;252;150;110,1548732
quran,13,129;22;136;222;91;19;95;126;51;125,1548732
quran,14,161;42;178;173;18;140;164;47;138;250,1548732
quran,15,19;237;136;105;16;48;201;59;218;207,1548732
quran,16,26;6;204;124;189;218;139;113;75;128,1548732
quran,17,65;209;75;249;83;218;76;177;103;34,1548732
quran,18,99;173;199;248;87;252;129;83;101;202,1548732
quran,19,108;231;203;236;114;224;228;154;180;59,1548732
quran,20,86;249;109;24;159;177;248;154;183;176,1548732
quran,21,186;180;127;177;129;226;107;153;208;58,1548732
quran,22,205;160;111;25;184;159;243;76;249;74,1548732
quran,23,243;220;62;164;255;60;113;19;140;230,1548732
quran,24,114;172;60;203;51;235;254;204;244;182,1548732
quran,25,186;72;90;237;184;214;163;70;28;121,1548732
quran,26,73;139;93;167;180;243;228;21;211;241,1548732
quran,27,233;151;35;52;30;212;203;78;13;112,1548732
quran,28,32;45;66;100;36;172;105;88;43;15,1548732
quran,29,180;126;32;8;35;132;172;186;13;193,1548732
quran,30,176;245;121;50;114;130;167;41;134;170,1548732
quran,31,204;177;222;143;117;27;20;13;172;31,1548732
quran,32,216;82;166;254;187;250;24;23;197;206,1548732
quran,33,200;65;209;137;160;196;18;49;40;105,1548732
quran,34,33;233;126;171;207;160;163;184;114;101,1548732
quran,35,254;246;12;117;204;81;203;249;207;47,1548732
quran,36,104;148;242;255;50;222;250;153;53;172,1548732
quran,37,93;160;176;40;35;134;123;57;79;230,1548732
quran,38,152;87;99;117;228;8;218;171;33;224,1548732
quran,39,108;205;132;109;13;118;15;173;146;130,1548732
quran,40,29;60;193;169;10;6;212;122;206;23,1548732
quran,41,154;143;105;84;76;205;34;46;206;80,1548732
quran,42,164;26;14;27;111;186;179;104;79;218,1548732
tao,0,58;56;28;106;63;241;40;213;188;102,83112
tao,1,228;243;226;86;58;224;254;225;160;111,83112
tao,2,75;74;162;195;77;176;214;203;50;81,83112
tao,3,234;223;4;116;73;245;185;163;164;145,83112
tao,4,34;158;205;45;250;209;106;53;198;175,83112
tao,5,35;108;107;230;114;246;179;175;40;21,83112
tao,6,56;132;129;226;15;62;246;74;20;144,83112
tao,7,6;61;70;226;32;248;122;182;73;74,83112
tao,8,20;202;253;250;92;81;103;229;167;195,83112
tao,9,72;196;118;175;154;58;86;96;128;99,83112
tao,10,8;85;215;246;252;210;135;94;68;217,83112
tao,11,18;161;215;2;228;249;165;132;174;79,83112
tao,12,80;19;226;62;26;187;150;171;1;95,83112
tao,13,129;193;114;132;204;45;194;229;125;165,83112
tao,14,164;31;224;33;20;141;173;6;239;233,83112
tao,15,190;207;135;250;201;167;184;105;71;166,83112
tao,16,250;165;26;218;204;191;255;67;124;151,83112
tao,17,5;22;83;65;42;81;177;249;209;71,83112
tao,18,186;83;152;173;74;193;87;91;235;199,83112
tao,19,137;224;114;108;154;208;236;228;20;180,83112
tao,20,86;159;109;116;177;249;216;24;248;94,83112
tao,21,177;107;73;58;238;245;44;231;180;22,83112
tao,22,205;201;25;98;76;243;159;212;17;160,83112
tao,23,243;62;220;48;60;115;112;164;59;227,83112
tao,24,114;181;60;74;203;78;47;246;250;202,83112
tao,25,60;186;161;28;238;70;90;3;235;121,83112
tao,26,73;39;184;2;243;180;176;178;254;164,83112
tao,27,233;151;212;213;231;112;35;138;209;110,83112
tao,28,32;25;45;36;105;15;215;110;122;40,83112
tao,29,180;126;244;135;69;72;18;19;35;7,83112
tao,30,176;121;41;198;64;134;112;66;45;247,83112
tao,31,143;204;117;182;13;172;183;177;31;15,83112
tao,32,216;82;163;254;187;206;97;23;250;2,83112
tao,33,65;200;171;137;18;40;64;45;209;196,83112
tao,34,233;33;136;47;207;63;153;101;133;114,83112
tao,35,254;81;12;246;117;71;249;121;160;204,83112
tao,36,104;50;148;228;133;132;250;88;139;172,83112
tao,37,93;40;123;36;87;230;134;234;96;67,83112
tao,38,152;87;83;207;170;117;224;255;61;218,83112
tao,39,64;173;108;202;205;231;114;118;177;115,83112
tao,40,29;169;237;122;12;163;91;88;127;16,83112
tao,41,154;46;80;206;168;228;93;125;153;37,83112
tao,42,164;26;179;14;186;52;79;129;131;34,83112
upanishads,0,58;241;56;106;63;128;213;132;188;102,130014
upanishads,1,228;243;226;58;86;225;224;82;160;107,130014
upanishads,2,176;162;75;74;81;159;61;77;50;112,130014
upanishads,3,73;4;116;223;234;163;185;184;7;61,130014
upanishads,4,34;250;158;106;175;248;218;45;62;234,130014
upanishads,5,108;230;107;114;179;242;175;180;246;159,130014
upanishads,6,74;15;129;56;132;20;62;246;206;3,130014
upanishads,7,130;248;6;61;229;226;168;32;81;182,130014
upanishads,8,202;103;248;81;49;195;254;42;157;67,130014
upanishads,9,118;196;72;99;175;128;96;251;131;198,130014
upanishads,10,8;135;246;101;215;172;217;68;32;138,130014
upanishads,11,18;86;251;19;2;215;154;228;110;25,130014
upanishads,12,80;54;194;171;19;187;81;62;192;209,130014
upanishads,13,129;112;222;156;33;45;126;91;114;19,130014
upanishads,14,9;42;138;178;86;18;47;46;173;161,130014
upanishads,15,105;237;48;56;218;59;207;250;165;99,130014
